accession	organism	taxid	group	supergroup	stratum	length	gc	n_cds	n_trna	n_rrna	transl_table	n_markers	markers
NC_006076.1	Periplaneta fuliginosa	36977	Metazoa	Opisthokonta	Metazoa	14996	0.2485	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_039982.1	Freyastera benthophila	556872	Metazoa	Opisthokonta	Metazoa	16175	0.3177	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_026983.1	Gnathostomula armata	231613	Metazoa	Opisthokonta	Metazoa	14030	0.1982	13	19	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_026984.1	Gnathostomula paradoxa	66783	Metazoa	Opisthokonta	Metazoa	14197	0.282	13	20	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_080938.1	Abylopsis tetragona	316209	Metazoa	Opisthokonta	Metazoa	17046	0.2595	12	0	2	4	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_000941.1	Terebratulina retusa	7580	Metazoa	Opisthokonta	Metazoa	15451	0.4279	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_049868.1	Spirocodon saltatrix	6093	Metazoa	Opisthokonta	Metazoa	15752	0.2962	13	2	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_035256.1	Stenostomum sthenum	1611831	Metazoa	Opisthokonta	Metazoa	16944	0.2998	14	32	3	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_003127.1	Neoceratodus forsteri	7892	Metazoa	Opisthokonta	Metazoa	16572	0.4282	13	22	2	2	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014285.1	Callorhinchus milii	7868	Metazoa	Opisthokonta	Metazoa	16769	0.3373	13	22	2	2	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014292.1	Harriotta raleighana	765186	Metazoa	Opisthokonta	Metazoa	18024	0.425	13	22	2	2	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010208.1	Chondrilla aff. nucula CHOND	479638	Metazoa	Opisthokonta	Metazoa	19282	0.3361	14	25	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010212.1	Halisarca dujardinii	2583056	Metazoa	Opisthokonta	Metazoa	19277	0.3781	14	25	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014876.1	Halisarca harmelini	936147	Metazoa	Opisthokonta	Metazoa	20591	0.346	14	25	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_085569.1	Parachordodes pustulosus	3049253	Metazoa	Opisthokonta	Metazoa	14013	0.2751	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_044095.1	Gordionus alpestris	1137640	Metazoa	Opisthokonta	Metazoa	15132	0.2943	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_050252.1	Eucidaris tribuloides	7632	Metazoa	Opisthokonta	Metazoa	15803	0.403	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_050272.1	Prionocidaris baculosa	1198993	Metazoa	Opisthokonta	Metazoa	15836	0.4081	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_050273.1	Stylocidaris reini	1986297	Metazoa	Opisthokonta	Metazoa	15850	0.4007	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_069646.1	Cliona patera	2910015	Metazoa	Opisthokonta	Metazoa	19133	0.3303	14	25	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_061414.1	Astriclypeus mannii	31188	Metazoa	Opisthokonta	Metazoa	15744	0.3902	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_006921.2	Latimeria menadoensis	106881	Metazoa	Opisthokonta	Metazoa	16446	0.4159	13	22	2	2	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010692.1	Antedon mediterranea	105859	Metazoa	Opisthokonta	Metazoa	16156	0.2674	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_001878.1	Florometra serratissima	73431	Metazoa	Opisthokonta	Metazoa	16005	0.2718	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_066490.1	Poliometra prolixa	1320728	Metazoa	Opisthokonta	Metazoa	15916	0.3108	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_061054.1	Cenometra bella	707711	Metazoa	Opisthokonta	Metazoa	15872	0.2784	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_069919.1	Zygometra comata	2797651	Metazoa	Opisthokonta	Metazoa	15829	0.2795	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_045944.1	Stephanometra indica	706660	Metazoa	Opisthokonta	Metazoa	15878	0.2633	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_069630.1	Tropiometra macrodiscus	1299298	Metazoa	Opisthokonta	Metazoa	16156	0.2676	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_068254.1	Comatella nigra	707715	Metazoa	Opisthokonta	Metazoa	15834	0.2583	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_068252.1	Comatella stelligera	707716	Metazoa	Opisthokonta	Metazoa	15824	0.2582	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_059908.1	Anneissia intermedia	2819924	Metazoa	Opisthokonta	Metazoa	15874	0.2773	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_054279.1	Anneissia pinguis	2711157	Metazoa	Opisthokonta	Metazoa	15912	0.286	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_060843.1	Comanthus parvicirrus	1529418	Metazoa	Opisthokonta	Metazoa	15917	0.2796	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_007690.1	Phanogenia gracilis	329963	Metazoa	Opisthokonta	Metazoa	15892	0.2771	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_027102.1	Corynactis californica	44298	Metazoa	Opisthokonta	Metazoa	20715	0.398	13	2	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_023930.1	Nipponnemertes punctatula	1332184	Metazoa	Opisthokonta	Metazoa	15354	0.3179	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_013811.1	Decipisagitta decipiens	366427	Metazoa	Opisthokonta	Metazoa	11121	0.3166	11	1	2	5	11	cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_013814.1	Flaccisagitta enflata	366393	Metazoa	Opisthokonta	Metazoa	12631	0.3675	11	1	2	5	11	cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_013810.1	Zonosagitta nagae	648573	Metazoa	Opisthokonta	Metazoa	11459	0.3386	11	1	2	5	11	cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_008192.1	Flustrellidra hispida	97271	Metazoa	Opisthokonta	Metazoa	13026	0.4107	13	21	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_031873.1	Echinoderes svetlanae	1912903	Metazoa	Opisthokonta	Metazoa	15304	0.2557	13	23	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_045864.1	Hormiphora californensis	1403702	Metazoa	Opisthokonta	Metazoa	12564	0.2445	14	0	2	4	11	cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_042792.1	Cypridina dentata	1483471	Metazoa	Opisthokonta	Metazoa	15779	0.3715	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_028407.1	Cypridopsis vidua	230730	Metazoa	Opisthokonta	Metazoa	16783	0.2625	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_007689.1	Neogymnocrinus richeri	710152	Metazoa	Opisthokonta	Metazoa	15966	0.3361	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_080941.1	Rhizophysa filiformis	316187	Metazoa	Opisthokonta	Metazoa	15953	0.3072	13	2	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010216.1	Igernella notabilis	479643	Metazoa	Opisthokonta	Metazoa	20310	0.2798	14	2	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_051929.1	Colochirus quadrangularis	1980634	Metazoa	Opisthokonta	Metazoa	17157	0.3307	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_058589.1	Thyonella gemmata	206685	Metazoa	Opisthokonta	Metazoa	15696	0.3563	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_057437.1	Phyllophorella liuwutiensis	2810320	Metazoa	Opisthokonta	Metazoa	15969	0.348	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_006162.1	Graptacme eborea	55752	Metazoa	Opisthokonta	Metazoa	14492	0.2588	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_013662.1	Ircinia strobilina	467775	Metazoa	Opisthokonta	Metazoa	16414	0.3688	14	2	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010215.1	Hippospongia lachne	479639	Metazoa	Opisthokonta	Metazoa	16755	0.3703	14	2	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_021422.1	Hyattella sinuosa	1313225	Metazoa	Opisthokonta	Metazoa	16422	0.3714	14	2	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010218.1	Vaceletia sp. GW948	479641	Metazoa	Opisthokonta	Metazoa	20658	0.2931	14	2	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_015245.1	Pristionchus pacificus	54126	Metazoa	Opisthokonta	Metazoa	15954	0.2378	12	22	2	5	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_016019.1	Dracunculus medinensis	318479	Metazoa	Opisthokonta	Metazoa	14628	0.2728	12	29	2	5	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_040968.1	Benthodytes marianensis	2502088	Metazoa	Opisthokonta	Metazoa	17567	0.3076	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_007438.1	Saccoglossus kowalevskii	10224	Metazoa	Opisthokonta	Metazoa	17037	0.4002	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_040107.1	Stereobalanus canadensis	560612	Metazoa	Opisthokonta	Metazoa	17366	0.3967	13	23	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_001887.1	Balanoglossus carnosus	35080	Metazoa	Opisthokonta	Metazoa	15708	0.4856	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_013877.1	Balanoglossus clavigerus	560604	Metazoa	Opisthokonta	Metazoa	15710	0.4716	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_040109.1	Glossobalanus marginatus	1443200	Metazoa	Opisthokonta	Metazoa	16827	0.4295	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_040108.1	Schizocardium brasiliense	1443243	Metazoa	Opisthokonta	Metazoa	15416	0.4537	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010431.1	Loxocorone allax	393181	Metazoa	Opisthokonta	Metazoa	14862	0.2658	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010432.1	Loxosomella aloxiata	393182	Metazoa	Opisthokonta	Metazoa	15323	0.2942	13	23	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_015309.1	Placozoan sp. 'Shirahama'	702324	Metazoa	Opisthokonta	Metazoa	36676	0.404	15	24	3	4	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_009082.1	Epiperipatus biolleyi	172520	Metazoa	Opisthokonta	Metazoa	14411	0.2591	13	13	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_015890.1	Oroperipatus sp. DVL-2011	1035536	Metazoa	Opisthokonta	Metazoa	14493	0.2359	13	21	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010961.1	Metaperipatus inae	444703	Metazoa	Opisthokonta	Metazoa	15347	0.2169	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014273.1	Opisthopatus cinctipes	574546	Metazoa	Opisthokonta	Metazoa	13673	0.2245	13	13	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_013878.1	Astrospartus mediterraneus	691888	Metazoa	Opisthokonta	Metazoa	16238	0.2876	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_040146.1	Astrotoma agassizii	462866	Metazoa	Opisthokonta	Metazoa	16464	0.281	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_040147.1	Gorgonocephalus chilensis	1258644	Metazoa	Opisthokonta	Metazoa	16361	0.2793	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_016465.1	Clava multicornis	498518	Metazoa	Opisthokonta	Metazoa	16898	0.2586	14	2	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_063669.1	Zoroaster ophiactis	467010	Metazoa	Opisthokonta	Metazoa	16193	0.3546	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_049136.1	Siphonosoma cumanense	6444	Metazoa	Opisthokonta	Metazoa	15917	0.3925	13	23	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_022921.1	Pallisentis celatus	935648	Metazoa	Opisthokonta	Metazoa	13855	0.3854	12	22	2	5	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010211.1	Xestospongia muta	178552	Metazoa	Opisthokonta	Metazoa	18990	0.3385	14	25	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_072668.1	Ophioleila elegans	1815333	Metazoa	Opisthokonta	Metazoa	16300	0.3609	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_021615.1	Heterodontus zebra	1213687	Metazoa	Opisthokonta	Metazoa	16720	0.3995	13	22	2	2	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_042687.1	Notospermus geniculatus	416868	Metazoa	Opisthokonta	Metazoa	15180	0.4428	13	23	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_069205.1	Paracanthobdella livanowi	2905687	Metazoa	Opisthokonta	Metazoa	15500	0.2994	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014863.1	Oscarella lobularis	121494	Metazoa	Opisthokonta	Metazoa	20260	0.349	15	27	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014886.1	Oscarella malakhovi	908211	Metazoa	Opisthokonta	Metazoa	20332	0.3366	14	26	2	4	13	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad4,nad4L,nad5,nad6
NC_014850.1	Oscarella microlobata	764031	Metazoa	Opisthokonta	Metazoa	20368	0.3669	15	27	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_035983.1	Oscarella pearsei	1940113	Metazoa	Opisthokonta	Metazoa	20320	0.344	15	26	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014888.1	Oscarella tuberculata	252962	Metazoa	Opisthokonta	Metazoa	20262	0.3497	15	27	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014856.1	Oscarella viridis	764033	Metazoa	Opisthokonta	Metazoa	20440	0.3571	15	27	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014872.1	Corticium candelabrum	121492	Metazoa	Opisthokonta	Metazoa	18402	0.3453	14	5	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014885.1	Plakina crypta	908212	Metazoa	Opisthokonta	Metazoa	20069	0.3419	14	5	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014860.1	Plakina jani	450361	Metazoa	Opisthokonta	Metazoa	18907	0.3251	14	5	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014884.1	Plakina monolopha	908213	Metazoa	Opisthokonta	Metazoa	19371	0.3491	14	5	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014892.1	Plakina sp. DVL-2010	908215	Metazoa	Opisthokonta	Metazoa	18997	0.3462	14	5	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_010217.1	Plakinastrella cf. onkodes DVL-2011	1041945	Metazoa	Opisthokonta	Metazoa	19790	0.3306	15	6	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014868.1	Plakortis simplex	252963	Metazoa	Opisthokonta	Metazoa	18551	0.3253	14	5	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_014848.1	Hypsibius dujardini	232323	Metazoa	Opisthokonta	Metazoa	15169	0.311	13	23	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_031407.1	Ramazzottius varieornatus	947166	Metazoa	Opisthokonta	Metazoa	14428	0.2864	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_068797.1	Metacrinus rotundus	228699	Metazoa	Opisthokonta	Metazoa	15830	0.355	13	22	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_015829.1	Thulinius sp. DVL-2010	867920	Metazoa	Opisthokonta	Metazoa	15047	0.2877	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_045069.1	Semnoderes armiger	1415233	Metazoa	Opisthokonta	Metazoa	14986	0.2382	12	22	2	5	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_003086.1	Terebratalia transversa	34513	Metazoa	Opisthokonta	Metazoa	14291	0.4089	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_083976.1	Monoserius pennarius	2203294	Metazoa	Opisthokonta	Metazoa	15197	0.2596	13	2	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_053946.1	Blackfordia virginica	47071	Metazoa	Opisthokonta	Metazoa	15109	0.2639	13	2	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_025284.1	Scutopus ventrolineatus	52922	Metazoa	Opisthokonta	Metazoa	14662	0.3099	13	22	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_016467.1	Cubaia aphrodite	1104540	Metazoa	Opisthokonta	Metazoa	16148	0.3117	15	2	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_018537.1	Craspedacusta sowerbii	128124	Metazoa	Opisthokonta	Metazoa	17922	0.4286	15	2	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_036679.1	Lingula anatina	7574	Metazoa	Opisthokonta	Metazoa	25790	0.3684	13	34	2	5	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_085563.1	Lingula reevei	2792136	Metazoa	Opisthokonta	Metazoa	20778	0.4395	12	26	2	5	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_016117.1	Mnemiopsis leidyi	27923	Metazoa	Opisthokonta	Metazoa	10326	0.1565	11	0	2	4	11	cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_033867.1	Longidorus vineacola	241698	Metazoa	Opisthokonta	Metazoa	13519	0.3634	12	22	2	5	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_033868.1	Paralongidorus litoralis	474435	Metazoa	Opisthokonta	Metazoa	12763	0.361	12	20	2	5	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_027419.1	Oopsacas minuta	111878	Metazoa	Opisthokonta	Metazoa	19042	0.3086	14	22	2	5	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_072601.1	Caulophacus iocasicus	3031190	Metazoa	Opisthokonta	Metazoa	19930	0.2777	14	21	2	4	14	atp6,atp8,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_028054.1	Vazella pourtalesii	2710537	Metazoa	Opisthokonta	Metazoa	20312	0.2908	13	22	2	5	13	atp6,atp9,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_035255.1	Macrostomum lignano	282301	Metazoa	Opisthokonta	Metazoa	14193	0.2781	13	21	2	9	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_048963.1	Carijoa riisei	360972	Metazoa	Opisthokonta	Metazoa	18714	0.3464	14	1	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_020458.1	Euplexaura crassa	58800	Metazoa	Opisthokonta	Metazoa	18674	0.3728	14	1	2	4	13	atp6,atp8,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_008231.1	Agamermis sp. BH-2006	390897	Metazoa	Opisthokonta	Metazoa	16561	0.1949	12	26	2	5	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_008828.1	Hexamermis agrotis	387665	Metazoa	Opisthokonta	Metazoa	24606	0.2158	14	24	2	5	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_041549.1	Polyplacotoma mediterranea	2283839	Metazoa	Opisthokonta	Metazoa	23462	0.3292	12	25	3	4	12	atp6,cob,cox1,cox2,cox3,nad1,nad2,nad3,nad4,nad4L,nad5,nad6
NC_027524.1	Kudoa hexapunctata	1450334	Metazoa	Opisthokonta	Metazoa	18219	0.424	11	4	2	4	8	cob,cox1,cox2,nad1,nad3,nad4L,nad5,nad6
NC_027523.1	Kudoa septempunctata	751907	Metazoa	Opisthokonta	Metazoa	19425	0.4327	11	0	2	4	8	cob,cox1,cox2,nad1,nad3,nad4L,nad5,nad6
